
year,mm-dd,location,parameter,unit,datatype,value
2015,8-4,LWG,outflow,kcfs,Outflow,25.529
2015,8-5,LWG,outflow,kcfs,Outflow,26.542
2015,8-6,LWG,outflow,kcfs,Outflow,24.875
2015,8-7,LWG,outflow,kcfs,Outflow,23.142
2015,8-8,LWG,outflow,kcfs,Outflow,19.692
2015,8-9,LWG,outflow,kcfs,Outflow,20.050
2015,8-10,LWG,outflow,kcfs,Outflow,18.804
2015,8-11,LWG,outflow,kcfs,Outflow,17.983
2015,8-12,LWG,outflow,kcfs,Outflow,20.750
2015,8-13,LWG,outflow,kcfs,Outflow,22.275
2015,8-14,LWG,outflow,kcfs,Outflow,21.029
2015,8-15,LWG,outflow,kcfs,Outflow,24.658
2015,8-16,LWG,outflow,kcfs,Outflow,20.329
2015,8-17,LWG,outflow,kcfs,Outflow,19.392
2015,8-18,LWG,outflow,kcfs,Outflow,19.350
2015,8-19,LWG,outflow,kcfs,Outflow,19.288
2015,8-20,LWG,outflow,kcfs,Outflow,19.475
2015,8-21,LWG,outflow,kcfs,Outflow,18.825
2015,8-22,LWG,outflow,kcfs,Outflow,17.583
2015,8-23,LWG,outflow,kcfs,Outflow,18.367
2015,8-24,LWG,outflow,kcfs,Outflow,20.967
2015,8-25,LWG,outflow,kcfs,Outflow,16.863
2015,8-26,LWG,outflow,kcfs,Outflow,17.108
2015,8-27,LWG,outflow,kcfs,Outflow,19.188
2015,8-28,LWG,outflow,kcfs,Outflow,20.442
2015,8-29,LWG,outflow,kcfs,Outflow,19.350
2015,8-30,LWG,outflow,kcfs,Outflow,18.883
2015,8-31,LWG,outflow,kcfs,Outflow,18.979
2015,9-1,LWG,outflow,kcfs,Outflow,18.825
2015,9-2,LWG,outflow,kcfs,Outflow,17.308
2015,9-3,LWG,outflow,kcfs,Outflow,15.838
2015,9-4,LWG,outflow,kcfs,Outflow,18.300
2015,9-5,LWG,outflow,kcfs,Outflow,20.738
2015,9-6,LWG,outflow,kcfs,Outflow,24.608
2015,9-7,LWG,outflow,kcfs,Outflow,18.046
